Wavelength[nm],ADC
810.500,10152
810.944,11041
811.388,12038
811.832,11562
812.276,9290
812.721,9977
813.165,8926
813.609,8973
814.053,8492
814.497,8368
814.942,8763
815.386,7994
815.830,8066
816.275,8388
816.719,8450
817.163,8410
817.608,8348
818.052,8944
818.497,9286
818.941,9308
819.386,8889
819.831,9079
820.275,9575
820.720,9494
821.164,9573
821.609,9194
822.054,10985
822.499,19123
822.943,24866
823.388,21580
823.833,17778
824.278,13040
824.723,10479
825.168,9692
825.613,10820
826.058,11846
826.503,12132
826.948,12318
827.393,16055
827.838,18415
828.283,15333
828.728,13559
829.173,11364
829.618,9535
830.064,10013
830.509,8552
830.954,8891
831.399,9080
831.845,9412
832.290,8606
832.736,9987
833.181,8626
833.626,9919
834.072,10679
834.517,11273
834.963,10998
835.408,10269
835.854,9323
836.300,8827
836.745,9571
837.191,9366
837.637,9079
838.082,9268
838.528,8493
838.974,8350
839.420,9636
839.865,15107
840.311,11614
840.757,10318
841.203,10634
841.649,9971
842.095,9209
842.541,10412
842.987,9727
843.433,9225
843.879,8995
844.325,8660
844.771,7731
845.217,9012
845.664,8964
846.110,8432
846.556,8739
847.002,8238
847.448,8250
847.895,7889
848.341,8801
848.787,8168
849.234,8371
849.680,8629
850.127,7973
850.573,8232
851.020,8701
851.466,8885
851.913,9172
852.359,9325
852.806,9582
853.252,8447
853.699,8360
854.146,8798
854.592,8998
855.039,8740
855.486,8174
855.933,8157
856.379,8737
856.826,7242
857.273,7883
857.720,8519
858.167,8912
858.614,8685
859.061,8300
859.508,8801
859.955,9111
860.402,9025
860.849,8748
861.296,9241
861.743,8640
862.190,8156
862.637,8468
863.084,8056
863.531,8440
863.979,9210
864.426,8481
864.873,8498
865.321,8055
865.768,8599
866.215,8505
866.663,8037
867.110,8652
867.557,8149
868.005,8913
868.452,8305
868.900,8669
869.347,8632
869.795,8034
870.242,7863
870.690,7468
871.138,8091
871.585,8173
872.033,7866
872.481,8185
872.928,8776
873.376,8453
873.824,8770
874.272,9208
874.720,9267
875.167,8442
875.615,8526
876.063,8308
876.511,8489
876.959,8656
877.407,8382
877.855,8689
878.303,8767
878.751,8864
879.199,7815
879.647,7895
880.095,8898
880.543,9010
880.992,10438
881.440,14607
881.888,15151
882.336,12855
882.784,11705
883.233,9552
883.681,9204
884.129,8972
884.578,9149
885.026,8452
885.474,9019
885.923,9217
886.371,9011
886.820,8622
887.268,8429
887.717,8550
888.165,7865
888.614,9138
889.062,8180
889.511,9079
889.960,7899
890.408,8509
890.857,8531
891.306,8979
891.754,7793
892.203,8665
892.652,8881
893.101,8919
893.549,8701
893.998,10021
894.447,10471
894.896,13161
895.345,12956
895.794,12133
896.243,10021
896.692,9798
897.141,8916
897.590,8775
898.039,9233
898.488,9687
898.937,9630
899.386,8358
899.835,9373
